person,role,gender,group,pballs,ffold,red_card,black_card,pict_card,tot_card,ruler
P1,student,F,G1,2,-5,2,1,0,3,24
P2,student,F,G1,3,-4,1,2,0,3,20
P3,student,F,G1,2,28,1,2,0,3,26
P4,student,F,G1,5,-9,0,3,0,3,17
P5,student,F,G1,2,6,3,0,0,3,14
P6,student,F,G1,4,8,2,1,1,3,13
P7,student,M,G2,2,-3,3,0,0,3,19
P8,student,M,G2,2,2.5,1,2,1,3,21
P9,student,M,G2,3,0,1,2,0,3,10
P10,student,M,G2,2,1.5,3,0,0,3,14
P11,staff,M,G3,3,17,1,2,2,3,18
P12,staff,M,G3,2,3,3,3,2,6,22
P13,staff,F,G3,7,-15,2,1,1,3,30
P14,staff,F,G3,6,0,3,4,1,7,17
P15,student,M,G3,4,13,1,3,0,4,13
P16,person,M,G4,0,2,1,4,1,5,17
P17,person,F,G4,2,-7,4,2,3,6,19
P18,person,F,G4,4,NA,3,4,2,7,18
P19,person,M,G4,1,-4,1,4,2,5,28
P20,baby,F,G4,0,-4,NA,NA,NA,NA,NA
